model  ,workload    ,power_d    ,power_e    ,power_g ,power_k     ,speed_a     ,speed_b    ,speed_c  ,speed_d
little ,idle        ,0.00134845 ,1.76307e-5 ,124.535 ,1.00399e-10 ,1           ,0          ,0        ,0
little ,bzip2       ,0.00775587 ,33.376     ,1.54585 ,9.53439e-10 ,0.0256054   ,2.9809e+6  ,0.602631 ,8.13712e+9
little ,hash        ,0.00624673 ,176.315    ,1.72836 ,1.77362e-10 ,0.00645628  ,3.37134e+6 ,7.83177  ,93459
little ,encrypt     ,0.00676544 ,26.2243    ,5.6071  ,5.34216e-10 ,6.11496e-78 ,3.32246e+6 ,6.5652   ,115759
little ,decrypt     ,0.00629664 ,87.1519    ,2.93286 ,2.80871e-10 ,5.0154e-68  ,3.31791e+6 ,7.154    ,112163
little ,cachekiller ,0.0126737  ,67.9915    ,1.63949 ,3.66185e-10 ,1.20262     ,352597     ,2.03511  ,169523
big    ,idle        ,0.0162881  ,0.00100737 ,55.8491 ,1.00494e-9  ,1           ,0          ,0        ,0
big    ,bzip2       ,0.0407739  ,12.022     ,3.33367 ,7.4577e-9   ,0.17833     ,1.63265e+6 ,1.62033  ,118803
big    ,hash        ,0.0388215  ,16.3205    ,4.3418  ,5.07039e-9  ,0.017478    ,1.93925e+6 ,4.22469  ,83048.3
big    ,encrypt     ,0.0348728  ,8.14399    ,5.64344 ,7.69915e-9  ,8.39417e-34 ,1.99222e+6 ,3.33002  ,96949.4
big    ,decrypt     ,0.0320508  ,25.8727    ,3.27135 ,4.11773e-9  ,9.49471e-35 ,1.98761e+6 ,2.65652  ,109497
big    ,cachekiller ,0.086908   ,9.17989    ,2.5828  ,7.64943e-9  ,0.825212    ,235044     ,786.368  ,25622.1
