model  ,freq ,workload      ,power                ,speed
big    ,200  ,cachekiller   ,0.05507872397660819  ,0.4360601907759942
big    ,300  ,cachekiller   ,0.07856074839181287  ,0.5981091107609464
big    ,400  ,cachekiller   ,0.09980736659356725  ,0.7161439840743988
big    ,500  ,cachekiller   ,0.11953199788011697  ,0.800661047211726
big    ,600  ,cachekiller   ,0.13863728866959066  ,0.8581896513356417
big    ,700  ,cachekiller   ,0.15370343969298247  ,0.8946798934679523
big    ,800  ,cachekiller   ,0.1746241144005848   ,0.9229876694493375
big    ,900  ,cachekiller   ,0.2038781951023392   ,0.9399590523544895
big    ,1000 ,cachekiller   ,0.23489191286549707  ,0.9545230434136924
big    ,1100 ,cachekiller   ,0.26860168019005853  ,0.9619708051046167
big    ,1200 ,cachekiller   ,0.30645284736842104  ,0.9707950700821653
big    ,1300 ,cachekiller   ,0.34459840453216367  ,0.9784800876872487
big    ,1400 ,cachekiller   ,0.38759898296783624  ,0.9774682158282133
big    ,1500 ,cachekiller   ,0.4336517315789473   ,0.9829593303630596
big    ,1600 ,cachekiller   ,0.4974891579678363   ,0.9827489195139854
big    ,1700 ,cachekiller   ,0.570209987134503    ,0.9983473333664696
big    ,1800 ,cachekiller   ,0.646751969005848    ,0.9901408624280589
big    ,1900 ,cachekiller   ,0.7565384065789474   ,0.9955762081784385
big    ,2000 ,cachekiller   ,0.9052658989035087   ,1.0
little ,200  ,cachekiller   ,0.009154078728070175 ,0.3584580721440203
little ,300  ,cachekiller   ,0.012560244298245614 ,0.5107547559638276
little ,400  ,cachekiller   ,0.014493681944444442 ,0.6324228589420655
little ,500  ,cachekiller   ,0.016368634649122808 ,0.7264833094717804
little ,600  ,cachekiller   ,0.01999784312865497  ,0.7794489538531191
little ,700  ,cachekiller   ,0.02382059700292398  ,0.8148515018847511
little ,800  ,cachekiller   ,0.02764224159356726  ,0.878545653362493
little ,900  ,cachekiller   ,0.03196398435672514  ,0.8885779854563552
little ,1000 ,cachekiller   ,0.03634789663742691  ,0.9114695204961428
little ,1100 ,cachekiller   ,0.040946172733918144 ,0.9277750512428187
little ,1200 ,cachekiller   ,0.04581170665204678  ,0.9383215408422467
little ,1300 ,cachekiller   ,0.052851364766081876 ,0.9599976102520188
little ,1400 ,cachekiller   ,0.0604451798245614   ,0.9426241689479861
little ,1500 ,cachekiller   ,0.06637393194444445  ,0.9517339414220986
big    ,200  ,cacherate-0   ,0.04388945248538012  ,0.09847955541994774
big    ,300  ,cacherate-0   ,0.06511054239766083  ,0.1486116931290837
big    ,400  ,cacherate-0   ,0.08634820687134503  ,0.19870919542615217
big    ,500  ,cacherate-0   ,0.10832425796783626  ,0.24877541829771
big    ,600  ,cacherate-0   ,0.1298074625730994   ,0.29885765413346066
big    ,700  ,cacherate-0   ,0.14743931703216373  ,0.34894407900730645
big    ,800  ,cacherate-0   ,0.1725895236111111   ,0.3990359437402324
