model  ,freq ,workload      ,power                ,speed
big    ,200  ,cachekiller   ,0.05507872397660819  ,0.3872918766728076
big    ,300  ,cachekiller   ,0.07856074839181287  ,0.5401396160558465
big    ,400  ,cachekiller   ,0.09980736659356725  ,0.6575002950548804
big    ,500  ,cachekiller   ,0.11953199788011697  ,0.7449354817142476
big    ,600  ,cachekiller   ,0.13863728866959066  ,0.8034903007139251
big    ,700  ,cachekiller   ,0.15370343969298247  ,0.8468495857718327
big    ,800  ,cachekiller   ,0.1746241144005848   ,0.8824647552669096
big    ,900  ,cachekiller   ,0.2038781951023392   ,0.9057063892050075
big    ,1000 ,cachekiller   ,0.23489191286549707  ,0.9270321990182212
big    ,1100 ,cachekiller   ,0.26860168019005853  ,0.9395395901846699
big    ,1200 ,cachekiller   ,0.30645284736842104  ,0.9523076923076923
big    ,1300 ,cachekiller   ,0.34459840453216367  ,0.9618439226519336
big    ,1400 ,cachekiller   ,0.38759898296783624  ,0.9593593938350269
big    ,1500 ,cachekiller   ,0.4336517315789473   ,0.9708111875925766
big    ,1600 ,cachekiller   ,0.4974891579678363   ,0.9707266074228961
big    ,1700 ,cachekiller   ,0.570209987134503    ,0.9913516976297246
big    ,1800 ,cachekiller   ,0.646751969005848    ,0.9908227510404438
big    ,1900 ,cachekiller   ,0.7565384065789474   ,1.001402070750647
big    ,2000 ,cachekiller   ,0.9052658989035087   ,1.0
little ,200  ,cachekiller   ,0.009154078728070175 ,0.3388480019463537
little ,300  ,cachekiller   ,0.012560244298245614 ,0.5107494842997937
little ,400  ,cachekiller   ,0.014493681944444442 ,0.6815512600929778
little ,500  ,cachekiller   ,0.016368634649122808 ,0.844987107538298
little ,600  ,cachekiller   ,0.01999784312865497  ,0.942958700067705
little ,700  ,cachekiller   ,0.02382059700292398  ,0.9794303797468356
little ,800  ,cachekiller   ,0.02764224159356726  ,1.0555134520651763
little ,900  ,cachekiller   ,0.03196398435672514  ,1.0848018693408625
little ,1000 ,cachekiller   ,0.03634789663742691  ,1.0844851080397122
little ,1100 ,cachekiller   ,0.040946172733918144 ,1.1271623672230653
little ,1200 ,cachekiller   ,0.04581170665204678  ,1.1267064415006576
little ,1300 ,cachekiller   ,0.052851364766081876 ,1.1296765689952348
little ,1400 ,cachekiller   ,0.0604451798245614   ,1.1376352869103532
little ,1500 ,cachekiller   ,0.06637393194444445  ,1.1260232440626583
big    ,200  ,cacherate-0   ,0.04388945248538012  ,0.09866392600205545
big    ,300  ,cacherate-0   ,0.06511054239766083  ,0.14891108767140276
big    ,400  ,cacherate-0   ,0.08634820687134503  ,0.19902147773447207
big    ,500  ,cacherate-0   ,0.10832425796783626  ,0.2489884842826017
big    ,600  ,cacherate-0   ,0.1298074625730994   ,0.2992145617753395
big    ,700  ,cacherate-0   ,0.14743931703216373  ,0.3491670910016729
big    ,800  ,cacherate-0   ,0.1725895236111111   ,0.39910202045397836
big    ,900  ,cacherate-0   ,0.206036286622807    ,0.44931199101375974
big    ,1000 ,cacherate-0   ,0.2420450020467836   ,0.49937578027465646
big    ,1100 ,cacherate-0   ,0.2813134084795322   ,0.5494505494505492
big    ,1200 ,cacherate-0   ,0.3250406739766082   ,0.5995503372470643
big    ,1300 ,cacherate-0   ,0.37092752463450296  ,0.649350649350649
big    ,1400 ,cacherate-0   ,0.4216651040935673   ,0.6993006993006992
big    ,1500 ,cacherate-0   ,0.4760424449561403   ,0.749063670411985
big    ,1600 ,cacherate-0   ,0.5500616872076024   ,0.7999999999999997
big    ,1700 ,cacherate-0   ,0.6337991236842105   ,0.8507018290089321
big    ,1800 ,cacherate-0   ,0.72210572375731     ,0.9009009009009006
big    ,1900 ,cacherate-0   ,0.8509755733187133   ,0.9501187648456056
big    ,2000 ,cacherate-0   ,1.0222946892543858   ,1.0
little ,200  ,cacherate-0   ,0.01264364312865497  ,0.0805369127516778
little ,300  ,cacherate-0   ,0.019079922368421053 ,0.12162983985404412
little ,400  ,cacherate-0   ,0.025348906505847955 ,0.16282225237449108
little ,500  ,cacherate-0   ,0.03164945687134503  ,0.20383031126587103
little ,600  ,cacherate-0   ,0.041388308918128655 ,0.24484799020608017
little ,700  ,cacherate-0   ,0.05189757587719299  ,0.28583338295718436
little ,800  ,cacherate-0   ,0.06401401220760235  ,0.32661948829613485
little ,900  ,cacherate-0   ,0.07569639788011698  ,0.3675626005053983
