model  ,freq ,workload      ,power                ,speed
big    ,200  ,cachekiller   ,0.046370337719298264 ,0.5481108312342569
big    ,300  ,cachekiller   ,0.06724146315789474  ,0.7130529765155653
big    ,400  ,cachekiller   ,0.08623488179824564  ,0.8258064516129032
big    ,500  ,cachekiller   ,0.10427734364035088  ,0.8930232558139534
big    ,600  ,cachekiller   ,0.1221203989035088   ,0.9460869565217389
big    ,700  ,cachekiller   ,0.13511635460526322  ,0.9728763040238447
big    ,800  ,cachekiller   ,0.1547402497807018   ,0.988342165026495
big    ,900  ,cachekiller   ,0.1816307089912281   ,0.9936073059360729
big    ,1000 ,cachekiller   ,0.2117253372807018   ,0.9996937212863708
big    ,1100 ,cachekiller   ,0.2431213975877194   ,0.9981651376146788
big    ,1200 ,cachekiller   ,0.27735339298245626  ,1.0012269938650307
big    ,1300 ,cachekiller   ,0.3125739574561404   ,1.0136645962732915
big    ,1400 ,cachekiller   ,0.35291329890350887  ,1.0144522144522143
big    ,1500 ,cachekiller   ,0.3959569114035089   ,1.0136645962732915
big    ,1600 ,cachekiller   ,0.4544257690789475   ,1.0168224299065418
big    ,1700 ,cachekiller   ,0.5214579745614036   ,1.0130353817504656
big    ,1800 ,cachekiller   ,0.592081461403509    ,0.977538185085355
big    ,1900 ,cachekiller   ,0.6937001504385967   ,0.9837251356238695
big    ,2000 ,cachekiller   ,0.8327461896929826   ,1.0
little ,200  ,cachekiller   ,0.008539982236842108 ,0.3474188398084087
little ,300  ,cachekiller   ,0.012182132456140353 ,0.44912280701754387
little ,400  ,cachekiller   ,0.014005958114035091 ,0.5006134969325153
little ,500  ,cachekiller   ,0.015792409210526322 ,0.5562846186621218
little ,600  ,cachekiller   ,0.019400280701754386 ,0.571628721541156
little ,700  ,cachekiller   ,0.023191424342105273 ,0.602770083102493
little ,800  ,cachekiller   ,0.02703728881578948  ,0.6550928248871047
little ,900  ,cachekiller   ,0.031118994298245623 ,0.6577329974811084
little ,1000 ,cachekiller   ,0.035260647368421064 ,0.6782337662337663
little ,1100 ,cachekiller   ,0.039072928728070194 ,0.6835602094240836
little ,1200 ,cachekiller   ,0.04376909188596493  ,0.7053484602917344
little ,1300 ,cachekiller   ,0.050276267982456165 ,0.7225235196458217
little ,1400 ,cachekiller   ,0.05772867938596493  ,0.7042071197411004
little ,1500 ,cachekiller   ,0.06352728925438597  ,0.7169686985172982
big    ,200  ,cacherate-0   ,0.04366718728070178  ,0.09823926279414175
big    ,300  ,cacherate-0   ,0.06523324078947369  ,0.14819411691696643
big    ,400  ,cacherate-0   ,0.0860905929824562   ,0.1982071713147409
big    ,500  ,cacherate-0   ,0.10803966820175444  ,0.24843945068664153
big    ,600  ,cacherate-0   ,0.12967542412280705  ,0.29835082458770584
big    ,700  ,cacherate-0   ,0.14661239232456147  ,0.348511383537653
big    ,800  ,cacherate-0   ,0.17228200372807023  ,0.3987975951903803
big    ,900  ,cacherate-0   ,0.20552874100877197  ,0.4483665039429212
big    ,1000 ,cacherate-0   ,0.24169654122807024  ,0.4987468671679195
big    ,1100 ,cacherate-0   ,0.2823589478070176   ,0.5494707777266445
big    ,1200 ,cacherate-0   ,0.32637425701754397  ,0.5993975903614455
big    ,1300 ,cacherate-0   ,0.3728810462719299   ,0.6482084690553742
big    ,1400 ,cacherate-0   ,0.4239254403508774   ,0.6982456140350874
big    ,1500 ,cacherate-0   ,0.4790798537280702   ,0.7490589711417811
big    ,1600 ,cacherate-0   ,0.5542479405701757   ,0.7991967871485941
big    ,1700 ,cacherate-0   ,0.637384364035088    ,0.8504273504273497
big    ,1800 ,cacherate-0   ,0.7269007927631582   ,0.9004524886877824
big    ,1900 ,cacherate-0   ,0.8571452225877194   ,0.9494274809160297
big    ,2000 ,cacherate-0   ,1.034073193640351    ,1.0
little ,200  ,cacherate-0   ,0.012699639912280705 ,0.0801342281879194
little ,300  ,cacherate-0   ,0.019042713157894745 ,0.12102169065477388
little ,400  ,cacherate-0   ,0.025394913377193    ,0.16203012620436952
