model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.19062087467250774 ,0.4005906833131964
cpu   ,700  ,decrypt  ,0.23754854837200678 ,0.4671927726495955
cpu   ,800  ,decrypt  ,0.27488090837851986 ,0.5340054981457085
cpu   ,900  ,decrypt  ,0.3142170250457683  ,0.6007676227682397
cpu   ,1000 ,decrypt  ,0.35446440265160317 ,0.6675488114843833
cpu   ,1100 ,decrypt  ,0.39479161049635136 ,0.7344749934537839
cpu   ,1200 ,decrypt  ,0.43670439373047115 ,0.8001871409091169
cpu   ,1300 ,decrypt  ,0.47934278467188524 ,0.8669163915983634
cpu   ,1400 ,decrypt  ,0.5242343827735384  ,0.9337789791869184
cpu   ,1500 ,decrypt  ,0.567868833555302   ,1.0
cpu   ,600  ,encrypt  ,0.1893057190654126  ,0.4013007658964498
cpu   ,700  ,encrypt  ,0.2357752487104335  ,0.468136486441413
cpu   ,800  ,encrypt  ,0.2729100215842309  ,0.5349310526195431
cpu   ,900  ,encrypt  ,0.31158802124116164 ,0.6019144337324598
cpu   ,1000 ,encrypt  ,0.35108457829268164 ,0.6687058689002603
cpu   ,1100 ,encrypt  ,0.3920636461518648  ,0.7347041333389173
cpu   ,1200 ,encrypt  ,0.4332287321502518  ,0.8015076237793388
cpu   ,1300 ,encrypt  ,0.4754544166869069  ,0.8672697612338723
cpu   ,1400 ,encrypt  ,0.5194994735561299  ,0.9342101759897764
cpu   ,1500 ,encrypt  ,0.5625745377948771  ,1.0
cpu   ,600  ,gzip-1   ,0.21529583095380192 ,0.5561828051539985
cpu   ,700  ,gzip-1   ,0.26632752405644844 ,0.5905415751177946
cpu   ,800  ,gzip-1   ,0.3072922838959828  ,0.7093554440714461
cpu   ,900  ,gzip-1   ,0.35017994937975544 ,0.6591930743630541
cpu   ,1000 ,gzip-1   ,0.3933173908515333  ,0.7546991210277214
cpu   ,1100 ,gzip-1   ,0.4335931671151243  ,0.948267418268318
cpu   ,1200 ,gzip-1   ,0.48185864821889585 ,0.9682512144344206
cpu   ,1300 ,gzip-1   ,0.528106339228858   ,0.9781134020618556
cpu   ,1400 ,gzip-1   ,0.5740009488145135  ,1.1210667485909418
cpu   ,1500 ,gzip-1   ,0.623029086616071   ,1.0
cpu   ,600  ,gzip-5   ,0.2200682123969833  ,0.40439145385872927
cpu   ,700  ,gzip-5   ,0.2723405540864372  ,0.4716925302472383
cpu   ,800  ,gzip-5   ,0.3151129388479632  ,0.5377960370950691
cpu   ,900  ,gzip-5   ,0.3590186557852888  ,0.6050114702111866
cpu   ,1000 ,gzip-5   ,0.4034331275516126  ,0.6715376982269571
cpu   ,1100 ,gzip-5   ,0.4491652396061636  ,0.7381890776624099
cpu   ,1200 ,gzip-5   ,0.49624952589165583 ,0.8034204307457972
cpu   ,1300 ,gzip-5   ,0.5435509508748281  ,0.8697259941804073
cpu   ,1400 ,gzip-5   ,0.5935152131437681  ,0.9336361506624671
cpu   ,1500 ,gzip-5   ,0.6401873830307739  ,1.0
cpu   ,600  ,gzip-9   ,0.22001267142707306 ,0.4038748977692546
cpu   ,700  ,gzip-9   ,0.2726262875241532  ,0.470478856211727
cpu   ,800  ,gzip-9   ,0.31572866880678807 ,0.5374499928695273
cpu   ,900  ,gzip-9   ,0.35892095890978887 ,0.6040984712988897
cpu   ,1000 ,gzip-9   ,0.40437361348833256 ,0.6706095002622312
cpu   ,1100 ,gzip-9   ,0.44913093055569775 ,0.7352246591095778
cpu   ,1200 ,gzip-9   ,0.4965360183735496  ,0.8014438412893837
cpu   ,1300 ,gzip-9   ,0.5432909817910349  ,0.8666577909031492
cpu   ,1400 ,gzip-9   ,0.5928290431431433  ,0.9323446309292848
cpu   ,1500 ,gzip-9   ,0.641367284989201   ,1.0
cpu   ,600  ,hash     ,0.2200021969161972  ,0.40580567704313514
cpu   ,700  ,hash     ,0.2721808300624195  ,0.4725075387923286
cpu   ,800  ,hash     ,0.3165363263165268  ,0.5392890925045868
cpu   ,900  ,hash     ,0.3616865718273869  ,0.6061665769989494
cpu   ,1000 ,hash     ,0.4062666981279163  ,0.6711341814520131
cpu   ,1100 ,hash     ,0.4525810150205339  ,0.7391596376132455
cpu   ,1200 ,hash     ,0.5002772021941568  ,0.8039039141070939
cpu   ,1300 ,hash     ,0.549908383450418   ,0.8683867652726036
cpu   ,1400 ,hash     ,0.6010727862463601  ,0.9360485817146019
cpu   ,1500 ,hash     ,0.651704229314819   ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
