model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.17867113065326634 ,0.4005906833131964
cpu   ,700  ,decrypt  ,0.2225842180828955  ,0.4671927726495955
cpu   ,800  ,decrypt  ,0.2570717909230911  ,0.5340054981457085
cpu   ,900  ,decrypt  ,0.29615957819252925 ,0.6007676227682397
cpu   ,1000 ,decrypt  ,0.33326426426426414 ,0.6675488114843833
cpu   ,1100 ,decrypt  ,0.3706347071339176  ,0.7344749934537839
cpu   ,1200 ,decrypt  ,0.40507896863764525 ,0.8001871409091169
cpu   ,1300 ,decrypt  ,0.44382801301301317 ,0.8669163915983634
cpu   ,1400 ,decrypt  ,0.48014644488978014 ,0.9337789791869184
cpu   ,1500 ,decrypt  ,0.5195610160320638  ,1.0
cpu   ,600  ,encrypt  ,0.17710831658291445 ,0.4013007658964498
cpu   ,700  ,encrypt  ,0.2219631125552575  ,0.468136486441413
cpu   ,800  ,encrypt  ,0.25447086056850665 ,0.5349310526195431
cpu   ,900  ,encrypt  ,0.29357936762093473 ,0.6019144337324598
cpu   ,1000 ,encrypt  ,0.33006400677786163 ,0.6687058689002603
cpu   ,1100 ,encrypt  ,0.36664478621299657 ,0.7347041333389173
cpu   ,1200 ,encrypt  ,0.40242283450351096 ,0.8015076237793388
cpu   ,1300 ,encrypt  ,0.4414386236236235  ,0.8672697612338723
cpu   ,1400 ,encrypt  ,0.4772728488488491  ,0.9342101759897764
cpu   ,1500 ,encrypt  ,0.516034            ,1.0
cpu   ,600  ,gzip-1   ,0.21297572289156635 ,0.5561828051539985
cpu   ,700  ,gzip-1   ,0.2667452592324186  ,0.5905415751177946
cpu   ,800  ,gzip-1   ,0.3096247482433543  ,0.7093554440714461
cpu   ,900  ,gzip-1   ,0.3544548192771082  ,0.6591930743630541
cpu   ,1000 ,gzip-1   ,0.39689641641641593 ,0.7546991210277214
cpu   ,1100 ,gzip-1   ,0.4411278313824148  ,0.948267418268318
cpu   ,1200 ,gzip-1   ,0.48555444411312    ,0.9682512144344206
cpu   ,1300 ,gzip-1   ,0.529840025025025   ,0.9781134020618556
cpu   ,1400 ,gzip-1   ,0.573865            ,1.1210667485909418
cpu   ,1500 ,gzip-1   ,0.6210409879879881  ,1.0
cpu   ,600  ,gzip-5   ,0.21838613712374585 ,0.40439145385872927
cpu   ,700  ,gzip-5   ,0.27302126978548197 ,0.4716925302472383
cpu   ,800  ,gzip-5   ,0.31798947770227215 ,0.5377960370950691
cpu   ,900  ,gzip-5   ,0.3647517625612668  ,0.6050114702111866
cpu   ,1000 ,gzip-5   ,0.40625941641641594 ,0.6715376982269571
cpu   ,1100 ,gzip-5   ,0.45236350493171534 ,0.7381890776624099
cpu   ,1200 ,gzip-5   ,0.4969498395085158  ,0.8034204307457972
cpu   ,1300 ,gzip-5   ,0.5438680530530531  ,0.8697259941804073
cpu   ,1400 ,gzip-5   ,0.58894             ,0.9336361506624671
cpu   ,1500 ,gzip-5   ,0.6356225695695695  ,1.0
cpu   ,600  ,gzip-9   ,0.2175458347245408  ,0.4038748977692546
cpu   ,700  ,gzip-9   ,0.2743778696741853  ,0.470478856211727
cpu   ,800  ,gzip-9   ,0.3189534496902921  ,0.5374499928695273
cpu   ,900  ,gzip-9   ,0.36275364219641315 ,0.6040984712988897
cpu   ,1000 ,gzip-9   ,0.4065316468773377  ,0.6706095002622312
cpu   ,1100 ,gzip-9   ,0.45306270112189373 ,0.7352246591095778
cpu   ,1200 ,gzip-9   ,0.496934814463431   ,0.8014438412893837
cpu   ,1300 ,gzip-9   ,0.5435765230460922  ,0.8666577909031492
cpu   ,1400 ,gzip-9   ,0.588783            ,0.9323446309292848
cpu   ,1500 ,gzip-9   ,0.635888            ,1.0
cpu   ,600  ,hash     ,0.213625            ,0.40580567704313514
cpu   ,700  ,hash     ,0.26472168396944273 ,0.4725075387923286
cpu   ,800  ,hash     ,0.3077840668806285  ,0.5392890925045868
cpu   ,900  ,hash     ,0.35287326807228897 ,0.6061665769989494
cpu   ,1000 ,hash     ,0.39440640640640584 ,0.6711341814520131
cpu   ,1100 ,hash     ,0.43798712855533883 ,0.7391596376132455
cpu   ,1200 ,hash     ,0.479492834503511   ,0.8039039141070939
cpu   ,1300 ,hash     ,0.523834            ,0.8683867652726036
cpu   ,1400 ,hash     ,0.5679805565565569  ,0.9360485817146019
cpu   ,1500 ,hash     ,0.6132471941941935  ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
