model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.19062087467250774 ,0.40061675518245676
cpu   ,700  ,decrypt  ,0.23754854837200678 ,0.4672812533304913
cpu   ,800  ,decrypt  ,0.27488090837851986 ,0.5334428323752168
cpu   ,900  ,decrypt  ,0.3142170250457683  ,0.6004519309778142
cpu   ,1000 ,decrypt  ,0.35446440265160317 ,0.6671231313477121
cpu   ,1100 ,decrypt  ,0.39479161049635136 ,0.7339610797237915
cpu   ,1200 ,decrypt  ,0.43670439373047115 ,0.799507658643326
cpu   ,1300 ,decrypt  ,0.47934278467188524 ,0.8656893232637348
cpu   ,1400 ,decrypt  ,0.5242343827735384  ,0.9331205107741422
cpu   ,1500 ,decrypt  ,0.567868833555302   ,1.0
cpu   ,600  ,encrypt  ,0.1893057190654126  ,0.4013437542849308
cpu   ,700  ,encrypt  ,0.2357752487104335  ,0.46825756565791227
cpu   ,800  ,encrypt  ,0.2729100215842309  ,0.5349049707602338
cpu   ,900  ,encrypt  ,0.31158802124116164 ,0.6022633744855967
cpu   ,1000 ,encrypt  ,0.35108457829268164 ,0.668952119757742
cpu   ,1100 ,encrypt  ,0.3920636461518648  ,0.7350577599196384
cpu   ,1200 ,encrypt  ,0.4332287321502518  ,0.801917808219178
cpu   ,1300 ,encrypt  ,0.4754544166869069  ,0.8675163011262597
cpu   ,1400 ,encrypt  ,0.5194994735561299  ,0.9345466155810982
cpu   ,1500 ,encrypt  ,0.5625745377948771  ,1.0
cpu   ,600  ,gzip-1   ,0.21529583095380192 ,0.722876261767041
cpu   ,700  ,gzip-1   ,0.26632752405644844 ,0.6303130995470637
cpu   ,800  ,gzip-1   ,0.3072922838959828  ,0.8590220497061839
cpu   ,900  ,gzip-1   ,0.35017994937975544 ,0.7167146455559553
cpu   ,1000 ,gzip-1   ,0.3933173908515333  ,0.8200931573123342
cpu   ,1100 ,gzip-1   ,0.4335931671151243  ,1.0336349777821028
cpu   ,1200 ,gzip-1   ,0.48185864821889585 ,0.9855879260221441
cpu   ,1300 ,gzip-1   ,0.528106339228858   ,0.9068867387592489
cpu   ,1400 ,gzip-1   ,0.5740009488145135  ,1.153968713789108
cpu   ,1500 ,gzip-1   ,0.623029086616071   ,1.0
cpu   ,600  ,gzip-5   ,0.2200682123969833  ,0.41194323144104794
cpu   ,700  ,gzip-5   ,0.2723405540864372  ,0.48111691954609215
cpu   ,800  ,gzip-5   ,0.3151129388479632  ,0.5448323659360649
cpu   ,900  ,gzip-5   ,0.3590186557852888  ,0.6142801328384451
cpu   ,1000 ,gzip-5   ,0.4034331275516126  ,0.6809224772628842
cpu   ,1100 ,gzip-5   ,0.4491652396061636  ,0.7461146043421519
cpu   ,1200 ,gzip-5   ,0.49624952589165583 ,0.8101249516939327
cpu   ,1300 ,gzip-5   ,0.5435509508748281  ,0.8720188574597892
cpu   ,1400 ,gzip-5   ,0.5935152131437681  ,0.9333630157316709
cpu   ,1500 ,gzip-5   ,0.6401873830307739  ,1.0
cpu   ,600  ,gzip-9   ,0.22001267142707306 ,0.41078538612994975
cpu   ,700  ,gzip-9   ,0.2726262875241532  ,0.4771791613723
cpu   ,800  ,gzip-9   ,0.31572866880678807 ,0.5447819653581687
cpu   ,900  ,gzip-9   ,0.35892095890978887 ,0.6115888215751417
cpu   ,1000 ,gzip-9   ,0.40437361348833256 ,0.6773809523809524
cpu   ,1100 ,gzip-9   ,0.44913093055569775 ,0.7406224115489292
cpu   ,1200 ,gzip-9   ,0.4965360183735496  ,0.8066761180564506
cpu   ,1300 ,gzip-9   ,0.5432909817910349  ,0.866417497231451
cpu   ,1400 ,gzip-9   ,0.5928290431431433  ,0.9326478915213828
cpu   ,1500 ,gzip-9   ,0.641367284989201   ,1.0
cpu   ,600  ,hash     ,0.2200021969161972  ,0.4057074504442925
cpu   ,700  ,hash     ,0.2721808300624195  ,0.4721957040572791
cpu   ,800  ,hash     ,0.3165363263165268  ,0.5390273804658764
cpu   ,900  ,hash     ,0.3616865718273869  ,0.6068087716607881
cpu   ,1000 ,hash     ,0.4062666981279163  ,0.6712468193384223
cpu   ,1100 ,hash     ,0.4525810150205339  ,0.7399027673896781
cpu   ,1200 ,hash     ,0.5002772021941568  ,0.8053595658073265
cpu   ,1300 ,hash     ,0.549908383450418   ,0.8679534985742486
cpu   ,1400 ,hash     ,0.6010727862463601  ,0.9367897727272725
cpu   ,1500 ,hash     ,0.651704229314819   ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
