model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.1935236579049092  ,0.40061675518245676
cpu   ,700  ,decrypt  ,0.24158373803766411 ,0.4672812533304913
cpu   ,800  ,decrypt  ,0.27983702948451167 ,0.5334428323752168
cpu   ,900  ,decrypt  ,0.3201347837715003  ,0.6004519309778142
cpu   ,1000 ,decrypt  ,0.36175627652460174 ,0.6671231313477121
cpu   ,1100 ,decrypt  ,0.4031385218277988  ,0.7339610797237915
cpu   ,1200 ,decrypt  ,0.44727780448674975 ,0.799507658643326
cpu   ,1300 ,decrypt  ,0.49166592174926244 ,0.8656893232637348
cpu   ,1400 ,decrypt  ,0.5389145087281424  ,0.9331205107741422
cpu   ,1500 ,decrypt  ,0.5836703070873023  ,1.0
cpu   ,600  ,encrypt  ,0.1921107904909164  ,0.4013437542849308
cpu   ,700  ,encrypt  ,0.23938891417344524 ,0.46825756565791227
cpu   ,800  ,encrypt  ,0.277961713904287   ,0.5349049707602338
cpu   ,900  ,encrypt  ,0.3177197561792734  ,0.6022633744855967
cpu   ,1000 ,encrypt  ,0.3584690134884667  ,0.668952119757742
cpu   ,1100 ,encrypt  ,0.40055555798852294 ,0.7350577599196384
cpu   ,1200 ,encrypt  ,0.4437242293372506  ,0.801917808219178
cpu   ,1300 ,encrypt  ,0.48742176301834866 ,0.8675163011262597
cpu   ,1400 ,encrypt  ,0.5339729914327283  ,0.9345466155810982
cpu   ,1500 ,encrypt  ,0.5782001083923158  ,1.0
cpu   ,600  ,gzip-1   ,0.21654943196681714 ,0.722876261767041
cpu   ,700  ,gzip-1   ,0.267327078076275   ,0.6303130995470637
cpu   ,800  ,gzip-1   ,0.3087628250182627  ,0.8590220497061839
cpu   ,900  ,gzip-1   ,0.35161384137039986 ,0.7167146455559553
cpu   ,1000 ,gzip-1   ,0.39568134558660983 ,0.8200931573123342
cpu   ,1100 ,gzip-1   ,0.43403941208742863 ,1.0336349777821028
cpu   ,1200 ,gzip-1   ,0.4849301291472864  ,0.9855879260221441
cpu   ,1300 ,gzip-1   ,0.5319095308682177  ,0.9068867387592489
cpu   ,1400 ,gzip-1   ,0.580206673120164   ,1.153968713789108
cpu   ,1500 ,gzip-1   ,0.627389898292475   ,1.0
cpu   ,600  ,gzip-5   ,0.22130618872286498 ,0.41194323144104794
cpu   ,700  ,gzip-5   ,0.27334828948801143 ,0.48111691954609215
cpu   ,800  ,gzip-5   ,0.31673704391917906 ,0.5448323659360649
cpu   ,900  ,gzip-5   ,0.3605763132013123  ,0.6142801328384451
cpu   ,1000 ,gzip-5   ,0.40594296985409584 ,0.6809224772628842
cpu   ,1100 ,gzip-5   ,0.45183164016186317 ,0.7461146043421519
cpu   ,1200 ,gzip-5   ,0.5001618444924366  ,0.8101249516939327
cpu   ,1300 ,gzip-5   ,0.5479063205064364  ,0.8720188574597892
cpu   ,1400 ,gzip-5   ,0.5996913474432303  ,0.9333630157316709
cpu   ,1500 ,gzip-5   ,0.6449681788504654  ,1.0
cpu   ,600  ,gzip-9   ,0.22111547405923174 ,0.41078538612994975
cpu   ,700  ,gzip-9   ,0.27350237152246215 ,0.4771791613723
cpu   ,800  ,gzip-9   ,0.31725666780219286 ,0.5447819653581687
cpu   ,900  ,gzip-9   ,0.3606906217857331  ,0.6115888215751417
cpu   ,1000 ,gzip-9   ,0.4068760882036769  ,0.6773809523809524
cpu   ,1100 ,gzip-9   ,0.45169062902698176 ,0.7406224115489292
cpu   ,1200 ,gzip-9   ,0.5003176628806137  ,0.8066761180564506
cpu   ,1300 ,gzip-9   ,0.5473310705559647  ,0.866417497231451
cpu   ,1400 ,gzip-9   ,0.5983339850850853  ,0.9326478915213828
cpu   ,1500 ,gzip-9   ,0.6458380776338016  ,1.0
cpu   ,600  ,hash     ,0.2216625698103862  ,0.4057074504442925
cpu   ,700  ,hash     ,0.2746994695340035  ,0.4721957040572791
cpu   ,800  ,hash     ,0.32026526475464306 ,0.5390273804658764
cpu   ,900  ,hash     ,0.3663953884179925  ,0.6068087716607881
cpu   ,1000 ,hash     ,0.4122197561006334  ,0.6712468193384223
cpu   ,1100 ,hash     ,0.45961994727741257 ,0.7399027673896781
cpu   ,1200 ,hash     ,0.5091370239746438  ,0.8053595658073265
cpu   ,1300 ,hash     ,0.560903775225677   ,0.8679534985742486
cpu   ,1400 ,hash     ,0.6142651437339047  ,0.9367897727272725
cpu   ,1500 ,hash     ,0.6664862397680248  ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
