model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.19062087467250774 ,0.40043883708173345
cpu   ,700  ,decrypt  ,0.23754854837200678 ,0.4670505438259756
cpu   ,800  ,decrypt  ,0.27488090837851986 ,0.534407027818448
cpu   ,900  ,decrypt  ,0.3142170250457683  ,0.6010703993412926
cpu   ,1000 ,decrypt  ,0.35446440265160317 ,0.6688043976179571
cpu   ,1100 ,decrypt  ,0.39479161049635136 ,0.7344064386317909
cpu   ,1200 ,decrypt  ,0.43670439373047115 ,0.798687089715536
cpu   ,1300 ,decrypt  ,0.47934278467188524 ,0.8674985145573381
cpu   ,1400 ,decrypt  ,0.5242343827735384  ,0.9346991037131882
cpu   ,1500 ,decrypt  ,0.567868833555302   ,1.0
cpu   ,600  ,encrypt  ,0.1893057190654126  ,0.40109739368998626
cpu   ,700  ,encrypt  ,0.2357752487104335  ,0.46858974358974353
cpu   ,800  ,encrypt  ,0.2729100215842309  ,0.5343567251461987
cpu   ,900  ,encrypt  ,0.31158802124116164 ,0.6016460905349794
cpu   ,1000 ,encrypt  ,0.35108457829268164 ,0.6688014638609331
cpu   ,1100 ,encrypt  ,0.3920636461518648  ,0.7346733668341707
cpu   ,1200 ,encrypt  ,0.4332287321502518  ,0.8010958904109587
cpu   ,1300 ,encrypt  ,0.4754544166869069  ,0.866627148784825
cpu   ,1400 ,encrypt  ,0.5194994735561299  ,0.9347826086956524
cpu   ,1500 ,encrypt  ,0.5625745377948771  ,1.0
cpu   ,600  ,gzip-1   ,0.21529583095380192 ,0.4010910134941143
cpu   ,700  ,gzip-1   ,0.26632752405644844 ,0.4661327994661328
cpu   ,800  ,gzip-1   ,0.3072922838959828  ,0.5354541970103487
cpu   ,900  ,gzip-1   ,0.35017994937975544 ,0.6011187607573151
cpu   ,1000 ,gzip-1   ,0.3933173908515333  ,0.6684210526315789
cpu   ,1100 ,gzip-1   ,0.4335931671151243  ,0.7344900105152471
cpu   ,1200 ,gzip-1   ,0.48185864821889585 ,0.801032110091743
cpu   ,1300 ,gzip-1   ,0.528106339228858   ,0.8666253101736974
cpu   ,1400 ,gzip-1   ,0.5740009488145135  ,0.9338235294117647
cpu   ,1500 ,gzip-1   ,0.623029086616071   ,1.0
cpu   ,600  ,gzip-5   ,0.2200682123969833  ,0.4006442705936494
cpu   ,700  ,gzip-5   ,0.2723405540864372  ,0.46806451612903227
cpu   ,800  ,gzip-5   ,0.3151129388479632  ,0.5336520779698418
cpu   ,900  ,gzip-5   ,0.3590186557852888  ,0.6005794701986755
cpu   ,1000 ,gzip-5   ,0.4034331275516126  ,0.6665135507579238
cpu   ,1100 ,gzip-5   ,0.4491652396061636  ,0.7350557244174266
cpu   ,1200 ,gzip-5   ,0.49624952589165583 ,0.8003309431880862
cpu   ,1300 ,gzip-5   ,0.5435509508748281  ,0.8673042438732818
cpu   ,1400 ,gzip-5   ,0.5935152131437681  ,0.9349226804123711
cpu   ,1500 ,gzip-5   ,0.6401873830307739  ,1.0
cpu   ,600  ,gzip-9   ,0.22001267142707306 ,0.40073800738007387
cpu   ,700  ,gzip-9   ,0.2726262875241532  ,0.4655948553054663
cpu   ,800  ,gzip-9   ,0.31572866880678807 ,0.5319617927994124
cpu   ,900  ,gzip-9   ,0.35892095890978887 ,0.5990897807199008
cpu   ,1000 ,gzip-9   ,0.40437361348833256 ,0.6666666666666669
cpu   ,1100 ,gzip-9   ,0.44913093055569775 ,0.7331645569620253
cpu   ,1200 ,gzip-9   ,0.4965360183735496  ,0.7973568281938326
cpu   ,1300 ,gzip-9   ,0.5432909817910349  ,0.8649940262843491
cpu   ,1400 ,gzip-9   ,0.5928290431431433  ,0.9335912314635721
cpu   ,1500 ,gzip-9   ,0.641367284989201   ,1.0
cpu   ,600  ,hash     ,0.2200021969161972  ,0.40743801652892553
cpu   ,700  ,hash     ,0.2721808300624195  ,0.474494706448508
cpu   ,800  ,hash     ,0.3165363263165268  ,0.5405701754385962
cpu   ,900  ,hash     ,0.3616865718273869  ,0.608172706245181
cpu   ,1000 ,hash     ,0.4062666981279163  ,0.6734972677595626
cpu   ,1100 ,hash     ,0.4525810150205339  ,0.7396849212303074
cpu   ,1200 ,hash     ,0.5002772021941568  ,0.8042414355628055
cpu   ,1300 ,hash     ,0.549908383450418   ,0.8717948717948715
cpu   ,1400 ,hash     ,0.6010727862463601  ,0.9390476190476188
cpu   ,1500 ,hash     ,0.651704229314819   ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
