model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.17867113065326634 ,0.40043883708173345
cpu   ,700  ,decrypt  ,0.2225842180828955  ,0.4670505438259756
cpu   ,800  ,decrypt  ,0.2570717909230911  ,0.534407027818448
cpu   ,900  ,decrypt  ,0.29615957819252925 ,0.6010703993412926
cpu   ,1000 ,decrypt  ,0.33326426426426414 ,0.6688043976179571
cpu   ,1100 ,decrypt  ,0.3706347071339176  ,0.7344064386317909
cpu   ,1200 ,decrypt  ,0.40507896863764525 ,0.798687089715536
cpu   ,1300 ,decrypt  ,0.44382801301301317 ,0.8674985145573381
cpu   ,1400 ,decrypt  ,0.48014644488978014 ,0.9346991037131882
cpu   ,1500 ,decrypt  ,0.5195610160320638  ,1.0
cpu   ,600  ,encrypt  ,0.17710831658291445 ,0.40109739368998626
cpu   ,700  ,encrypt  ,0.2219631125552575  ,0.46858974358974353
cpu   ,800  ,encrypt  ,0.25447086056850665 ,0.5343567251461987
cpu   ,900  ,encrypt  ,0.29357936762093473 ,0.6016460905349794
cpu   ,1000 ,encrypt  ,0.33006400677786163 ,0.6688014638609331
cpu   ,1100 ,encrypt  ,0.36664478621299657 ,0.7346733668341707
cpu   ,1200 ,encrypt  ,0.40242283450351096 ,0.8010958904109587
cpu   ,1300 ,encrypt  ,0.4414386236236235  ,0.866627148784825
cpu   ,1400 ,encrypt  ,0.4772728488488491  ,0.9347826086956524
cpu   ,1500 ,encrypt  ,0.516034            ,1.0
cpu   ,600  ,gzip-1   ,0.21297572289156635 ,0.4010910134941143
cpu   ,700  ,gzip-1   ,0.2667452592324186  ,0.4661327994661328
cpu   ,800  ,gzip-1   ,0.3096247482433543  ,0.5354541970103487
cpu   ,900  ,gzip-1   ,0.3544548192771082  ,0.6011187607573151
cpu   ,1000 ,gzip-1   ,0.39689641641641593 ,0.6684210526315789
cpu   ,1100 ,gzip-1   ,0.4411278313824148  ,0.7344900105152471
cpu   ,1200 ,gzip-1   ,0.48555444411312    ,0.801032110091743
cpu   ,1300 ,gzip-1   ,0.529840025025025   ,0.8666253101736974
cpu   ,1400 ,gzip-1   ,0.573865            ,0.9338235294117647
cpu   ,1500 ,gzip-1   ,0.6210409879879881  ,1.0
cpu   ,600  ,gzip-5   ,0.21838613712374585 ,0.4006442705936494
cpu   ,700  ,gzip-5   ,0.27302126978548197 ,0.46806451612903227
cpu   ,800  ,gzip-5   ,0.31798947770227215 ,0.5336520779698418
cpu   ,900  ,gzip-5   ,0.3647517625612668  ,0.6005794701986755
cpu   ,1000 ,gzip-5   ,0.40625941641641594 ,0.6665135507579238
cpu   ,1100 ,gzip-5   ,0.45236350493171534 ,0.7350557244174266
cpu   ,1200 ,gzip-5   ,0.4969498395085158  ,0.8003309431880862
cpu   ,1300 ,gzip-5   ,0.5438680530530531  ,0.8673042438732818
cpu   ,1400 ,gzip-5   ,0.58894             ,0.9349226804123711
cpu   ,1500 ,gzip-5   ,0.6356225695695695  ,1.0
cpu   ,600  ,gzip-9   ,0.2175458347245408  ,0.40073800738007387
cpu   ,700  ,gzip-9   ,0.2743778696741853  ,0.4655948553054663
cpu   ,800  ,gzip-9   ,0.3189534496902921  ,0.5319617927994124
cpu   ,900  ,gzip-9   ,0.36275364219641315 ,0.5990897807199008
cpu   ,1000 ,gzip-9   ,0.4065316468773377  ,0.6666666666666669
cpu   ,1100 ,gzip-9   ,0.45306270112189373 ,0.7331645569620253
cpu   ,1200 ,gzip-9   ,0.496934814463431   ,0.7973568281938326
cpu   ,1300 ,gzip-9   ,0.5435765230460922  ,0.8649940262843491
cpu   ,1400 ,gzip-9   ,0.588783            ,0.9335912314635721
cpu   ,1500 ,gzip-9   ,0.635888            ,1.0
cpu   ,600  ,hash     ,0.213625            ,0.40743801652892553
cpu   ,700  ,hash     ,0.26472168396944273 ,0.474494706448508
cpu   ,800  ,hash     ,0.3077840668806285  ,0.5405701754385962
cpu   ,900  ,hash     ,0.35287326807228897 ,0.608172706245181
cpu   ,1000 ,hash     ,0.39440640640640584 ,0.6734972677595626
cpu   ,1100 ,hash     ,0.43798712855533883 ,0.7396849212303074
cpu   ,1200 ,hash     ,0.479492834503511   ,0.8042414355628055
cpu   ,1300 ,hash     ,0.523834            ,0.8717948717948715
cpu   ,1400 ,hash     ,0.5679805565565569  ,0.9390476190476188
cpu   ,1500 ,hash     ,0.6132471941941935  ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
