model ,freq ,workload ,power               ,speed
cpu   ,600  ,decrypt  ,0.1935236579049092  ,0.40043883708173345
cpu   ,700  ,decrypt  ,0.24158373803766411 ,0.4670505438259756
cpu   ,800  ,decrypt  ,0.27983702948451167 ,0.534407027818448
cpu   ,900  ,decrypt  ,0.3201347837715003  ,0.6010703993412926
cpu   ,1000 ,decrypt  ,0.36175627652460174 ,0.6688043976179571
cpu   ,1100 ,decrypt  ,0.4031385218277988  ,0.7344064386317909
cpu   ,1200 ,decrypt  ,0.44727780448674975 ,0.798687089715536
cpu   ,1300 ,decrypt  ,0.49166592174926244 ,0.8674985145573381
cpu   ,1400 ,decrypt  ,0.5389145087281424  ,0.9346991037131882
cpu   ,1500 ,decrypt  ,0.5836703070873023  ,1.0
cpu   ,600  ,encrypt  ,0.1921107904909164  ,0.40109739368998626
cpu   ,700  ,encrypt  ,0.23938891417344524 ,0.46858974358974353
cpu   ,800  ,encrypt  ,0.277961713904287   ,0.5343567251461987
cpu   ,900  ,encrypt  ,0.3177197561792734  ,0.6016460905349794
cpu   ,1000 ,encrypt  ,0.3584690134884667  ,0.6688014638609331
cpu   ,1100 ,encrypt  ,0.40055555798852294 ,0.7346733668341707
cpu   ,1200 ,encrypt  ,0.4437242293372506  ,0.8010958904109587
cpu   ,1300 ,encrypt  ,0.48742176301834866 ,0.866627148784825
cpu   ,1400 ,encrypt  ,0.5339729914327283  ,0.9347826086956524
cpu   ,1500 ,encrypt  ,0.5782001083923158  ,1.0
cpu   ,600  ,gzip-1   ,0.21654943196681714 ,0.4010910134941143
cpu   ,700  ,gzip-1   ,0.267327078076275   ,0.4661327994661328
cpu   ,800  ,gzip-1   ,0.3087628250182627  ,0.5354541970103487
cpu   ,900  ,gzip-1   ,0.35161384137039986 ,0.6011187607573151
cpu   ,1000 ,gzip-1   ,0.39568134558660983 ,0.6684210526315789
cpu   ,1100 ,gzip-1   ,0.43403941208742863 ,0.7344900105152471
cpu   ,1200 ,gzip-1   ,0.4849301291472864  ,0.801032110091743
cpu   ,1300 ,gzip-1   ,0.5319095308682177  ,0.8666253101736974
cpu   ,1400 ,gzip-1   ,0.580206673120164   ,0.9338235294117647
cpu   ,1500 ,gzip-1   ,0.627389898292475   ,1.0
cpu   ,600  ,gzip-5   ,0.22130618872286498 ,0.4006442705936494
cpu   ,700  ,gzip-5   ,0.27334828948801143 ,0.46806451612903227
cpu   ,800  ,gzip-5   ,0.31673704391917906 ,0.5336520779698418
cpu   ,900  ,gzip-5   ,0.3605763132013123  ,0.6005794701986755
cpu   ,1000 ,gzip-5   ,0.40594296985409584 ,0.6665135507579238
cpu   ,1100 ,gzip-5   ,0.45183164016186317 ,0.7350557244174266
cpu   ,1200 ,gzip-5   ,0.5001618444924366  ,0.8003309431880862
cpu   ,1300 ,gzip-5   ,0.5479063205064364  ,0.8673042438732818
cpu   ,1400 ,gzip-5   ,0.5996913474432303  ,0.9349226804123711
cpu   ,1500 ,gzip-5   ,0.6449681788504654  ,1.0
cpu   ,600  ,gzip-9   ,0.22111547405923174 ,0.40073800738007387
cpu   ,700  ,gzip-9   ,0.27350237152246215 ,0.4655948553054663
cpu   ,800  ,gzip-9   ,0.31725666780219286 ,0.5319617927994124
cpu   ,900  ,gzip-9   ,0.3606906217857331  ,0.5990897807199008
cpu   ,1000 ,gzip-9   ,0.4068760882036769  ,0.6666666666666669
cpu   ,1100 ,gzip-9   ,0.45169062902698176 ,0.7331645569620253
cpu   ,1200 ,gzip-9   ,0.5003176628806137  ,0.7973568281938326
cpu   ,1300 ,gzip-9   ,0.5473310705559647  ,0.8649940262843491
cpu   ,1400 ,gzip-9   ,0.5983339850850853  ,0.9335912314635721
cpu   ,1500 ,gzip-9   ,0.6458380776338016  ,1.0
cpu   ,600  ,hash     ,0.2216625698103862  ,0.40743801652892553
cpu   ,700  ,hash     ,0.2746994695340035  ,0.474494706448508
cpu   ,800  ,hash     ,0.32026526475464306 ,0.5405701754385962
cpu   ,900  ,hash     ,0.3663953884179925  ,0.608172706245181
cpu   ,1000 ,hash     ,0.4122197561006334  ,0.6734972677595626
cpu   ,1100 ,hash     ,0.45961994727741257 ,0.7396849212303074
cpu   ,1200 ,hash     ,0.5091370239746438  ,0.8042414355628055
cpu   ,1300 ,hash     ,0.560903775225677   ,0.8717948717948715
cpu   ,1400 ,hash     ,0.6142651437339047  ,0.9390476190476188
cpu   ,1500 ,hash     ,0.6664862397680248  ,1.0
cpu   ,600  ,idle     ,2.855955            ,1.0
cpu   ,700  ,idle     ,2.899018796992481   ,1.0
cpu   ,800  ,idle     ,2.926002506265664   ,1.0
cpu   ,900  ,idle     ,2.951370481927711   ,1.0
cpu   ,1000 ,idle     ,2.978583583583584   ,1.0
cpu   ,1100 ,idle     ,3.0034342928660824  ,1.0
cpu   ,1200 ,idle     ,3.0310551654964892  ,1.0
cpu   ,1300 ,idle     ,3.057185            ,1.0
cpu   ,1400 ,idle     ,3.084576            ,1.0
cpu   ,1500 ,idle     ,3.110947            ,1.0
