model ,freq ,workload      ,power               ,speed
cpu   ,299  ,cachekiller   ,0.198504            ,0.8464270928141149
cpu   ,399  ,cachekiller   ,0.22096             ,0.9003866793304328
cpu   ,599  ,cachekiller   ,0.251977            ,0.9182953188360578
cpu   ,1199 ,cachekiller   ,0.314565            ,1.0
cpu   ,299  ,cacherate-0   ,0.03146             ,0.19289839933345293
cpu   ,399  ,cacherate-0   ,0.040976            ,0.26383828421899436
cpu   ,599  ,cacherate-0   ,0.063425            ,0.41811885231095935
cpu   ,1199 ,cacherate-0   ,0.141574            ,1.0
cpu   ,299  ,cacherate-100 ,0.195859            ,0.7319000089759379
cpu   ,399  ,cacherate-100 ,0.219532            ,0.8108656480484728
cpu   ,599  ,cacherate-100 ,0.249796            ,0.8935657927570443
cpu   ,1199 ,cacherate-100 ,0.313719            ,1.0
cpu   ,299  ,cacherate-20  ,0.114787            ,0.3922474694223971
cpu   ,399  ,cacherate-20  ,0.146729            ,0.546355517719661
cpu   ,599  ,cacherate-20  ,0.208394            ,0.7643313239719274
cpu   ,1199 ,cacherate-20  ,0.369823            ,1.0
cpu   ,299  ,cacherate-40  ,0.172065            ,0.659003049590487
cpu   ,399  ,cacherate-40  ,0.216946            ,0.8440930861100029
cpu   ,599  ,cacherate-40  ,0.272956            ,0.9121286796946898
cpu   ,1199 ,cacherate-40  ,0.331861            ,1.0
cpu   ,299  ,cacherate-60  ,0.197969            ,0.8289217114466647
cpu   ,399  ,cacherate-60  ,0.224008            ,0.9736587947431011
cpu   ,599  ,cacherate-60  ,0.258913            ,0.9732911444871706
cpu   ,1199 ,cacherate-60  ,0.314686            ,1.0
cpu   ,299  ,cacherate-80  ,0.19287872127872077 ,0.7467860776827473
cpu   ,399  ,cacherate-80  ,0.221084            ,0.7692865579530273
cpu   ,599  ,cacherate-80  ,0.246816            ,0.878739629632099
cpu   ,1199 ,cacherate-80  ,0.314526            ,1.0
cpu   ,299  ,decrypt       ,0.034222            ,0.2138862042542239
cpu   ,399  ,decrypt       ,0.041687            ,0.28336147559187186
cpu   ,599  ,decrypt       ,0.074289            ,0.43989029007059827
cpu   ,1199 ,decrypt       ,0.142398            ,1.0
cpu   ,299  ,encrypt       ,0.034725            ,0.21650139568168741
cpu   ,399  ,encrypt       ,0.041664            ,0.2917647803556733
cpu   ,599  ,encrypt       ,0.070938            ,0.4464389946848508
cpu   ,1199 ,encrypt       ,0.142482            ,1.0
cpu   ,299  ,gzip-1        ,0.04458601398601406 ,0.22611393737560487
cpu   ,399  ,gzip-1        ,0.046337            ,0.30269268343506484
cpu   ,599  ,gzip-1        ,0.08192             ,0.46434678295834186
cpu   ,1199 ,gzip-1        ,0.161905            ,1.0
cpu   ,299  ,gzip-5        ,0.045367            ,0.23561783711605694
cpu   ,399  ,gzip-5        ,0.046232            ,0.31559858066552554
cpu   ,599  ,gzip-5        ,0.081808            ,0.48175000520841216
cpu   ,1199 ,gzip-5        ,0.161391            ,1.0
cpu   ,299  ,gzip-9        ,0.045               ,0.2361957380170903
cpu   ,399  ,gzip-9        ,0.046184            ,0.3165775878508331
cpu   ,599  ,gzip-9        ,0.08208             ,0.4826721571405988
cpu   ,1199 ,gzip-9        ,0.160799            ,1.0
cpu   ,299  ,hash          ,0.03789             ,0.19569859928625033
cpu   ,399  ,hash          ,0.046141            ,0.264603735305135
cpu   ,599  ,hash          ,0.075742            ,0.41490674397648925
cpu   ,1199 ,hash          ,0.14906             ,1.0
cpu   ,299  ,idle          ,1.6114              ,1.0
cpu   ,399  ,idle          ,1.618454            ,1.0
cpu   ,599  ,idle          ,1.621317            ,1.0
cpu   ,1199 ,idle          ,1.636175            ,1.0
