model ,freq ,workload      ,power                ,speed
cpu   ,299  ,cachekiller   ,0.1370494110006762   ,0.8506746088821618
cpu   ,399  ,cachekiller   ,0.15829363857868017  ,0.877816111119006
cpu   ,599  ,cachekiller   ,0.17755923923541245  ,0.8990753045343771
cpu   ,1199 ,cachekiller   ,0.2216236408086985   ,1.0
cpu   ,299  ,cacherate-0   ,0.03450167072758042  ,0.2024183763181175
cpu   ,399  ,cacherate-0   ,0.0453053280701754   ,0.27501252290872386
cpu   ,599  ,cacherate-0   ,0.07030473729040909  ,0.4332557211053298
cpu   ,1199 ,cacherate-0   ,0.14548672929596265  ,1.0
cpu   ,299  ,cacherate-100 ,0.13703046488931117  ,0.7687012470312797
cpu   ,399  ,cacherate-100 ,0.15779229601081807  ,0.9847117346653724
cpu   ,599  ,cacherate-100 ,0.17761541836186648  ,0.9709990033803738
cpu   ,1199 ,cacherate-100 ,0.2218307931972789   ,1.0
cpu   ,299  ,cacherate-20  ,0.10608172512673264  ,0.5382695032472228
cpu   ,399  ,cacherate-20  ,0.13812299864951347  ,0.7537589050271362
cpu   ,599  ,cacherate-20  ,0.19341334081632644  ,0.9477225537737232
cpu   ,1199 ,cacherate-20  ,0.2657144778797146   ,1.0
cpu   ,299  ,cacherate-40  ,0.1440290597199003   ,0.791648090568777
cpu   ,399  ,cacherate-40  ,0.17078126450523473  ,0.9677216924554023
cpu   ,599  ,cacherate-40  ,0.1940803427609426   ,0.9699793746421603
cpu   ,1199 ,cacherate-40  ,0.23681015474006112  ,1.0
cpu   ,299  ,cacherate-60  ,0.14072485868173862  ,0.8863501221864287
cpu   ,399  ,cacherate-60  ,0.1638934582064298   ,0.959268153475764
cpu   ,599  ,cacherate-60  ,0.18264742584082583  ,0.9792181405568264
cpu   ,1199 ,cacherate-60  ,0.22686566588515117  ,1.0
cpu   ,299  ,cacherate-80  ,0.13838274608002155  ,0.7736441442877537
cpu   ,399  ,cacherate-80  ,0.1598654571912013   ,0.8531319973920095
cpu   ,599  ,cacherate-80  ,0.1793307105544423   ,1.0221696197989791
cpu   ,1199 ,cacherate-80  ,0.22390553333333332  ,1.0
cpu   ,299  ,decrypt       ,0.034562199999999994 ,0.2173102126751043
cpu   ,399  ,decrypt       ,0.04514786666666667  ,0.2900934198600302
cpu   ,599  ,decrypt       ,0.06896253333333333  ,0.45053709515802615
cpu   ,1199 ,decrypt       ,0.14260026666666667  ,1.0
cpu   ,299  ,encrypt       ,0.03423143333333333  ,0.21727594991110677
cpu   ,399  ,encrypt       ,0.04495476666666666  ,0.28955928895228783
cpu   ,599  ,encrypt       ,0.06851453333333332  ,0.4500759686206663
cpu   ,1199 ,encrypt       ,0.14247593333333333  ,1.0
cpu   ,299  ,gzip-1        ,0.03871852529160877  ,0.22853263265010745
cpu   ,399  ,gzip-1        ,0.050740792456676814 ,0.31130094471093983
cpu   ,599  ,gzip-1        ,0.07972954312541919  ,0.4832799784198359
cpu   ,1199 ,gzip-1        ,0.15815254621287955  ,1.0
cpu   ,299  ,gzip-5        ,0.03832583333333334  ,0.2514826197196423
cpu   ,399  ,gzip-5        ,0.05007821559633016  ,0.3376888707213467
cpu   ,599  ,gzip-5        ,0.0792100507042254   ,0.5117771642070552
cpu   ,1199 ,gzip-5        ,0.15755590804020103  ,1.0
cpu   ,299  ,gzip-9        ,0.03837223333333333  ,0.2513607155755875
cpu   ,399  ,gzip-9        ,0.04993063880394151  ,0.33741983847416246
cpu   ,599  ,gzip-9        ,0.07909921997981842  ,0.5065696429637135
cpu   ,1199 ,gzip-9        ,0.157736973481034    ,1.0
cpu   ,299  ,hash          ,0.035651733135603984 ,0.1953707531063241
cpu   ,399  ,hash          ,0.04711069958592132  ,0.2656687590451928
cpu   ,599  ,hash          ,0.07120445224681422  ,0.41678464734991644
cpu   ,1199 ,hash          ,0.13897412395729075  ,1.0
cpu   ,299  ,idle          ,1.6114               ,1.0
cpu   ,399  ,idle          ,1.618454             ,1.0
cpu   ,599  ,idle          ,1.621317             ,1.0
cpu   ,1199 ,idle          ,1.636175             ,1.0
