model ,freq ,workload      ,power               ,speed
cpu   ,299  ,cachekiller   ,0.198504            ,0.8506746088821618
cpu   ,399  ,cachekiller   ,0.22096             ,0.877816111119006
cpu   ,599  ,cachekiller   ,0.251977            ,0.8990753045343771
cpu   ,1199 ,cachekiller   ,0.314565            ,1.0
cpu   ,299  ,cacherate-0   ,0.03146             ,0.2024183763181175
cpu   ,399  ,cacherate-0   ,0.040976            ,0.27501252290872386
cpu   ,599  ,cacherate-0   ,0.063425            ,0.4332557211053298
cpu   ,1199 ,cacherate-0   ,0.141574            ,1.0
cpu   ,299  ,cacherate-100 ,0.195859            ,0.7687012470312797
cpu   ,399  ,cacherate-100 ,0.219532            ,0.9847117346653724
cpu   ,599  ,cacherate-100 ,0.249796            ,0.9709990033803738
cpu   ,1199 ,cacherate-100 ,0.313719            ,1.0
cpu   ,299  ,cacherate-20  ,0.114787            ,0.5382695032472228
cpu   ,399  ,cacherate-20  ,0.146729            ,0.7537589050271362
cpu   ,599  ,cacherate-20  ,0.208394            ,0.9477225537737232
cpu   ,1199 ,cacherate-20  ,0.369823            ,1.0
cpu   ,299  ,cacherate-40  ,0.172065            ,0.791648090568777
cpu   ,399  ,cacherate-40  ,0.216946            ,0.9677216924554023
cpu   ,599  ,cacherate-40  ,0.272956            ,0.9699793746421603
cpu   ,1199 ,cacherate-40  ,0.331861            ,1.0
cpu   ,299  ,cacherate-60  ,0.197969            ,0.8863501221864287
cpu   ,399  ,cacherate-60  ,0.224008            ,0.959268153475764
cpu   ,599  ,cacherate-60  ,0.258913            ,0.9792181405568264
cpu   ,1199 ,cacherate-60  ,0.314686            ,1.0
cpu   ,299  ,cacherate-80  ,0.19287872127872077 ,0.7736441442877537
cpu   ,399  ,cacherate-80  ,0.221084            ,0.8531319973920095
cpu   ,599  ,cacherate-80  ,0.246816            ,1.0221696197989791
cpu   ,1199 ,cacherate-80  ,0.314526            ,1.0
cpu   ,299  ,decrypt       ,0.034222            ,0.2173102126751043
cpu   ,399  ,decrypt       ,0.041687            ,0.2900934198600302
cpu   ,599  ,decrypt       ,0.074289            ,0.45053709515802615
cpu   ,1199 ,decrypt       ,0.142398            ,1.0
cpu   ,299  ,encrypt       ,0.034725            ,0.21727594991110677
cpu   ,399  ,encrypt       ,0.041664            ,0.28955928895228783
cpu   ,599  ,encrypt       ,0.070938            ,0.4500759686206663
cpu   ,1199 ,encrypt       ,0.142482            ,1.0
cpu   ,299  ,gzip-1        ,0.04458601398601406 ,0.22853263265010745
cpu   ,399  ,gzip-1        ,0.046337            ,0.31130094471093983
cpu   ,599  ,gzip-1        ,0.08192             ,0.4832799784198359
cpu   ,1199 ,gzip-1        ,0.161905            ,1.0
cpu   ,299  ,gzip-5        ,0.045367            ,0.2514826197196423
cpu   ,399  ,gzip-5        ,0.046232            ,0.3376888707213467
cpu   ,599  ,gzip-5        ,0.081808            ,0.5117771642070552
cpu   ,1199 ,gzip-5        ,0.161391            ,1.0
cpu   ,299  ,gzip-9        ,0.045               ,0.2513607155755875
cpu   ,399  ,gzip-9        ,0.046184            ,0.33741983847416246
cpu   ,599  ,gzip-9        ,0.08208             ,0.5065696429637135
cpu   ,1199 ,gzip-9        ,0.160799            ,1.0
cpu   ,299  ,hash          ,0.03789             ,0.1953707531063241
cpu   ,399  ,hash          ,0.046141            ,0.2656687590451928
cpu   ,599  ,hash          ,0.075742            ,0.41678464734991644
cpu   ,1199 ,hash          ,0.14906             ,1.0
cpu   ,299  ,idle          ,1.6114              ,1.0
cpu   ,399  ,idle          ,1.618454            ,1.0
cpu   ,599  ,idle          ,1.621317            ,1.0
cpu   ,1199 ,idle          ,1.636175            ,1.0
