model ,freq ,workload      ,power                ,speed
cpu   ,299  ,cachekiller   ,0.11768229272479057  ,0.8506746088821618
cpu   ,399  ,cachekiller   ,0.13832405786802027  ,0.877816111119006
cpu   ,599  ,cachekiller   ,0.15428730885311887  ,0.8990753045343771
cpu   ,1199 ,cachekiller   ,0.193955311213048    ,1.0
cpu   ,299  ,cacherate-0   ,0.03406580609137053  ,0.2024183763181175
cpu   ,399  ,cacherate-0   ,0.04607574210526326  ,0.27501252290872386
cpu   ,599  ,cacherate-0   ,0.07125535593561373  ,0.4332557211053298
cpu   ,1199 ,cacherate-0   ,0.145770643943944    ,1.0
cpu   ,299  ,cacherate-100 ,0.11872070347782308  ,0.7687012470312797
cpu   ,399  ,cacherate-100 ,0.13800414401622738  ,0.9847117346653724
cpu   ,599  ,cacherate-100 ,0.15484077754279965  ,0.9709990033803738
cpu   ,1199 ,cacherate-100 ,0.1943368897959186   ,1.0
cpu   ,299  ,cacherate-20  ,0.10176310851926966  ,0.5382695032472228
cpu   ,399  ,cacherate-20  ,0.13345090112112343  ,0.7537589050271362
cpu   ,599  ,cacherate-20  ,0.18626236122449005  ,0.9477225537737232
cpu   ,1199 ,cacherate-20  ,0.23414431681957196  ,1.0
cpu   ,299  ,cacherate-40  ,0.13299092489453584  ,0.791648090568777
cpu   ,399  ,cacherate-40  ,0.15360619675785225  ,0.9677216924554023
cpu   ,599  ,cacherate-40  ,0.17024321414141402  ,0.9699793746421603
cpu   ,1199 ,cacherate-40  ,0.20877873211009187  ,1.0
cpu   ,299  ,cacherate-60  ,0.122114007952678    ,0.8863501221864287
cpu   ,399  ,cacherate-60  ,0.14473488730964498  ,0.959268153475764
cpu   ,599  ,cacherate-60  ,0.15939103876123895  ,0.9792181405568264
cpu   ,1199 ,cacherate-60  ,0.2001040488277269   ,1.0
cpu   ,299  ,cacherate-80  ,0.12020980343571666  ,0.7736441442877537
cpu   ,399  ,cacherate-80  ,0.140425985786802    ,0.8531319973920095
cpu   ,599  ,cacherate-80  ,0.15703741583166342  ,1.0221696197989791
cpu   ,1199 ,cacherate-80  ,0.19667480000000012  ,1.0
cpu   ,299  ,decrypt       ,0.033796400000000004 ,0.2173102126751043
cpu   ,399  ,decrypt       ,0.045249800000000034 ,0.2900934198600302
cpu   ,599  ,decrypt       ,0.06835460000000004  ,0.45053709515802615
cpu   ,1199 ,decrypt       ,0.14226459999999985  ,1.0
cpu   ,299  ,encrypt       ,0.033292300000000094 ,0.21727594991110677
cpu   ,399  ,encrypt       ,0.04508370000000015  ,0.28955928895228783
cpu   ,599  ,encrypt       ,0.06829460000000005  ,0.4500759686206663
cpu   ,1199 ,encrypt       ,0.1421862000000001   ,1.0
cpu   ,299  ,gzip-1        ,0.0370859903849657   ,0.22853263265010745
cpu   ,399  ,gzip-1        ,0.05115968868501526  ,0.31130094471093983
cpu   ,599  ,gzip-1        ,0.07936211468812894  ,0.4832799784198359
cpu   ,1199 ,gzip-1        ,0.15806751931931948  ,1.0
cpu   ,299  ,gzip-5        ,0.03642349999999996  ,0.2514826197196423
cpu   ,399  ,gzip-5        ,0.050375973394495316 ,0.3376888707213467
cpu   ,599  ,gzip-5        ,0.07880967605633807  ,0.5117771642070552
cpu   ,1199 ,gzip-5        ,0.15752671206030167  ,1.0
cpu   ,299  ,gzip-9        ,0.03656550000000005  ,0.2513607155755875
cpu   ,399  ,gzip-9        ,0.05026675820591223  ,0.33741983847416246
cpu   ,599  ,gzip-9        ,0.07870732996972743  ,0.5065696429637135
cpu   ,1199 ,gzip-9        ,0.15782506022155096  ,1.0
cpu   ,299  ,hash          ,0.033996325777332095 ,0.1953707531063241
cpu   ,399  ,hash          ,0.046867399378881854 ,0.2656687590451928
cpu   ,599  ,hash          ,0.07047882837022142  ,0.41678464734991644
cpu   ,1199 ,hash          ,0.13754643593593602  ,1.0
cpu   ,299  ,idle          ,1.6114               ,1.0
cpu   ,399  ,idle          ,1.618454             ,1.0
cpu   ,599  ,idle          ,1.621317             ,1.0
cpu   ,1199 ,idle          ,1.636175             ,1.0
