model ,freq ,workload      ,power                ,speed
cpu   ,299  ,cachekiller   ,0.1370494110006762   ,0.9160355747077144
cpu   ,399  ,cachekiller   ,0.15829363857868017  ,0.8645562876886048
cpu   ,599  ,cachekiller   ,0.17755923923541245  ,0.8985540135928731
cpu   ,1199 ,cachekiller   ,0.2216236408086985   ,1.0
cpu   ,299  ,cacherate-0   ,0.03450167072758042  ,0.1868483570015971
cpu   ,399  ,cacherate-0   ,0.0453053280701754   ,0.2570682012232031
cpu   ,599  ,cacherate-0   ,0.07030473729040909  ,0.4077992172805213
cpu   ,1199 ,cacherate-0   ,0.14548672929596265  ,1.0
cpu   ,299  ,cacherate-100 ,0.13703046488931117  ,0.5143951279201233
cpu   ,399  ,cacherate-100 ,0.15779229601081807  ,0.5199043559843491
cpu   ,599  ,cacherate-100 ,0.17761541836186648  ,0.5681564904899851
cpu   ,1199 ,cacherate-100 ,0.2218307931972789   ,1.0
cpu   ,299  ,cacherate-20  ,0.10608172512673264  ,0.2840481747727768
cpu   ,399  ,cacherate-20  ,0.13812299864951347  ,0.3681703998037618
cpu   ,599  ,cacherate-20  ,0.19341334081632644  ,0.5388088823584586
cpu   ,1199 ,cacherate-20  ,0.2657144778797146   ,1.0
cpu   ,299  ,cacherate-40  ,0.1440290597199003   ,0.5434780683471884
cpu   ,399  ,cacherate-40  ,0.17078126450523473  ,0.7060856941156141
cpu   ,599  ,cacherate-40  ,0.1940803427609426   ,1.0096725627355976
cpu   ,1199 ,cacherate-40  ,0.23681015474006112  ,1.0
cpu   ,299  ,cacherate-60  ,0.14072485868173862  ,0.700913457656353
cpu   ,399  ,cacherate-60  ,0.1638934582064298   ,0.9307940237766473
cpu   ,599  ,cacherate-60  ,0.18264742584082583  ,0.9312564298694302
cpu   ,1199 ,cacherate-60  ,0.22686566588515117  ,1.0
cpu   ,299  ,cacherate-80  ,0.13838274608002155  ,0.5188403483968272
cpu   ,399  ,cacherate-80  ,0.1598654571912013   ,0.511552774120441
cpu   ,599  ,cacherate-80  ,0.1793307105544423   ,0.5417942610325729
cpu   ,1199 ,cacherate-80  ,0.22390553333333332  ,1.0
cpu   ,299  ,decrypt       ,0.034562199999999994 ,0.20958698617263846
cpu   ,399  ,decrypt       ,0.04514786666666667  ,0.27978347095853245
cpu   ,599  ,decrypt       ,0.06896253333333333  ,0.4345249621301564
cpu   ,1199 ,decrypt       ,0.14260026666666667  ,1.0
cpu   ,299  ,encrypt       ,0.03423143333333333  ,0.21037607139432832
cpu   ,399  ,encrypt       ,0.04495476666666666  ,0.2803639596119124
cpu   ,599  ,encrypt       ,0.06851453333333332  ,0.44518114505143047
cpu   ,1199 ,encrypt       ,0.14247593333333333  ,1.0
cpu   ,299  ,gzip-1        ,0.03871852529160877  ,0.22389712416979698
cpu   ,399  ,gzip-1        ,0.050740792456676814 ,0.3003158429961138
cpu   ,599  ,gzip-1        ,0.07972954312541919  ,0.45755374021653406
cpu   ,1199 ,gzip-1        ,0.15815254621287955  ,1.0
cpu   ,299  ,gzip-5        ,0.03832583333333334  ,0.20533422513598343
cpu   ,399  ,gzip-5        ,0.05007821559633016  ,0.2747291059599727
cpu   ,599  ,gzip-5        ,0.0792100507042254   ,0.4296874282116206
cpu   ,1199 ,gzip-5        ,0.15755590804020103  ,1.0
cpu   ,299  ,gzip-9        ,0.03837223333333333  ,0.2053499599532903
cpu   ,399  ,gzip-9        ,0.04993063880394151  ,0.2748690926328359
cpu   ,599  ,gzip-9        ,0.07909921997981842  ,0.4256031187309935
cpu   ,1199 ,gzip-9        ,0.157736973481034    ,1.0
cpu   ,299  ,hash          ,0.035651733135603984 ,0.1953354887678209
cpu   ,399  ,hash          ,0.04711069958592132  ,0.2634987932256991
cpu   ,599  ,hash          ,0.07120445224681422  ,0.4139478350649812
cpu   ,1199 ,hash          ,0.13897412395729075  ,1.0
cpu   ,299  ,idle          ,1.6114               ,1.0
cpu   ,399  ,idle          ,1.618454             ,1.0
cpu   ,599  ,idle          ,1.621317             ,1.0
cpu   ,1199 ,idle          ,1.636175             ,1.0
